Код_ИАТА	Внутр._код	Населённый_пункт	Регион	Название_аэропорта
VKO	ВНК	Москва, город		Внуково
DME	ДМД	Москва, город		Домодедово
OSF	ОСФ	Москва, город		Остафьево
ZIA	РНЦ	Москва, город		Жуковский
SVO	ШРМ	Москва, город		Шереметьево
ABA	АБН	Абакан, город	Хакасия	Абакан
	АХЛ	Айхал, пгт	Якутия	Айхал
ADH	АЛД	Алдан, город	Якутия	Алдан
AMV	АМД	Амдерма, посёлок	Ненецкий АО	Амдерма
DYR	АНЫ	Анадырь, город	Чукотский АО	Угольный
AAQ	АНА	Анапа, город	Краснодарский край	Анапа (Витязево)
KVK	АПХ	Апатиты, город	Мурманская область	Апатиты-Кировск
	ВСЬ	Архангельск, город	Архангельская область	Васьково (МВЛ)
ARH	АХГ	Архангельск, город	Архангельская область	Талаги
ASF	АСР	Астрахань, город	Астраханская область	Астрахань (Нариманово)
ACS	АЧН	Ачинск, город	Красноярский край	Ачинск
	АЯН	Аян, село	Хабаровский край	Аян (Мунук)
	БГД	Багдарин, село	Бурятия	Багдарин
	БКТ	Байкит, село	Красноярский край	Байкит
BXY	ЛНЙ	Байконур, город	Казахстан	Байконур (Крайний)
BAX	БАН	Барнаул, город	Алтайский край	Барнаул (Михайловка)
BGN	БЯГ	Белая Гора, пгт	Якутия	Белая Гора
EGO	БЕД	Белгород, город	Белгородская область	Белгород
EYK	БЛР	Белоярский, город	ХМАО	Белоярский
EZV	БЕР	Берёзово, пгт	ХМАО	Берёзово
	БНГ	Беринговский, пгт	Чукотский АО	Беринговский
KPW	КПМ	Билибино, город	Чукотский АО	Кепервеем
BQS	БГЩ	Благовещенск, город	Амурская область	Игнатьево
	БОВ	Бованенково	Ямало-Ненецкий АО	Бованенково
BQG	БГР	Богородское, село	Хабаровский край	Богородское
ODO	БДБ	Бодайбо	Иркутская область	Бодайбо
TGP	ПТС	Бор, посёлок	Красноярский край	Подкаменная Тунгуска
BTK	БРС	Братск, город	Иркутская область	Братск
BZK	БРЯ	Брянск	Брянская область	Брянск
UUA	БУГ	Бугульма	Татарстан	Бугульма
	БГГ	Бугуруслан	Оренбургская область	Бугуруслан (Главный)
VRI	ВРЙ	Варандей	Ненецкий АО	Варандей
VLU	ВЕК	Великие Луки	Псковская область	Великие Луки
VUS	ВЕУ	Великий Устюг	Вологодская область	Великий Устюг
TLK		Витим	Якутия	Талакан
VVO	ВВО	Владивосток, город	Приморский край	Кневичи
OGZ	ВЛА	Владикавказ, город	Северная Осетия	Беслан
	ВЛМ	Владимир, город	Владимирская область	Семязино (МВЛ)
VOG	ВГГ	Волгоград, город	Волгоградская область	Гумрак
VGD	ВГД	Вологда, город	Вологодская область	Вологда
VKT	ВКТ	Воркута, город	Коми	Воркута
	ЬУОД(?)	Воронеж, город	Воронежская область	Придача
VOZ	ВРН	Воронеж, город	Воронежская область	Чертовицкое
	ВТЛ	Вуктыл	Коми	Вуктыл
GDZ	ГДЖ	Геленджик, город	Краснодарский край	Геленджик
RGK	ГОР	Горно-Алтайск	Алтай	Горно-Алтайск
GRV	ГРН	Грозный, город	Чечня	Грозный
DKS	ДИК	Диксон	Красноярский край	Диксон
SVX	КЛЦ	Екатеринбург, город	Свердловская область	Кольцово
EIE	ЕНС	Енисейск	Красноярский край	Енисейск
ZIX	ЖИГ	Жиганск	Якутия	Жиганск
	ЗЕЯ	Зея	Амурская область	Зея
IWA	ИВВ	Иваново, город	Ивановская область	Иваново-Южный
IAA	ИГР	Игарка	Красноярский край	Игарка
IRM	ИРМ	Игрим	ХМАО	Игрим
IJK	ИЖВ	Ижевск, город	Удмуртия	Ижевск
INA	ИНТ	Инта	Коми	Инта
IKT	ИКТ	Иркутск, город	Иркутская область	Иркутск
ITU	ККУ	Итуруп	Сахалинская область	Итуруп
JOK	ИШО	Йошкар-Ола, город	Марий Эл	Йошкар-Ола
KZN	КЗН	Казань, город	Татарстан	Казань
KGD	КЛД	Калининград, город	Калининградская область	Храброво
KLF	КЛГ	Калуга, город	Калужская область	Калуга (Грабцево)
	КТЙ	Каратайка	Ненецкий АО	Каратайка
KEJ	КРВ	Кемерово, город	Кемеровская область	Кемерово
KVX	КИО	Киров, город	Кировская область	Победилово
KGP	КОГ	Когалым	Ханты-Мансийский АО	Когалым
		Комсомольск-на-Амуре, город	Хабаровский край	Дзёмги
